question,answer,cot,category
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k?igh?""?",knight,"The pattern ""k?igh?"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cr?ates""?",creates,"The pattern ""cr?ates"" is a 7-letter word. From the Wonderland dictionary, ""creates"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?u??le""?","puzzle, turtle","The pattern ""?u??le"" matches 2 Wonderland words: puzzle, turtle. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dar?""?",dark,"The pattern ""dar?"" is a 4-letter word. From the Wonderland dictionary, ""dark"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ou?e""?",mouse,"The pattern ""?ou?e"" is a 5-letter word. From the Wonderland dictionary, ""mouse"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rou?d""?",around,"The pattern ""?rou?d"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i??or""?",mirror,"The pattern ""?i??or"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""t??oug?""?",through,"The pattern ""t??oug?"" is a 7-letter word. From the Wonderland dictionary, ""through"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?eac??r""?",teacher,"The pattern ""?eac??r"" is a 7-letter word. From the Wonderland dictionary, ""teacher"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??aws""?",draws,"The pattern ""??aws"" is a 5-letter word. From the Wonderland dictionary, ""draws"" matches.",pattern_match
"In Alice's Wonderland dictionary, which words contain ""tle""?","castle, turtle","Words containing ""tle"": castle, turtle (2 total).",pattern_match
"Is the word ""through"" in Alice's Wonderland dictionary?",Yes,"Yes, ""through"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""aro??d""?",around,"The pattern ""aro??d"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""se?s""?",sees,"The pattern ""se?s"" is a 4-letter word. From the Wonderland dictionary, ""sees"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""pri??es?""?",princess,"The pattern ""pri??es?"" is a 8-letter word. From the Wonderland dictionary, ""princess"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""studen?""?",student,"The pattern ""studen?"" is a 7-letter word. From the Wonderland dictionary, ""student"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cur?o?s""?",curious,"The pattern ""cur?o?s"" is a 7-letter word. From the Wonderland dictionary, ""curious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""h?tter""?",hatter,"The pattern ""h?tter"" is a 6-letter word. From the Wonderland dictionary, ""hatter"" matches.",pattern_match
"In Alice's Wonderland dictionary, list words starting with letters ""a"" through ""d"".","above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams","Wonderland words from ""a"" to ""d"": above, alice, ancient, around, beyond, bird, book, bright, castle, cat, cave, chases, clever, colorful, creates, crystal, curious, dark, discovers, door, dragon, draws, dreams (23 words).",recall_range
"In Alice's Wonderland dictionary, list words starting with letters ""e"" through ""h"".","explores, follows, forest, found, garden, golden, hatter, hidden","Wonderland words from ""e"" to ""h"": explores, follows, forest, found, garden, golden, hatter, hidden (8 words).",recall_range
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?h?s?s""?",chases,"The pattern ""?h?s?s"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ollow?""?",follows,"The pattern ""?ollow?"" is a 7-letter word. From the Wonderland dictionary, ""follows"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dra?s""?",draws,"The pattern ""dra?s"" is a 5-letter word. From the Wonderland dictionary, ""draws"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ri?e?""?",writes,"The pattern ""?ri?e?"" is a 6-letter word. From the Wonderland dictionary, ""writes"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k??ght""?",knight,"The pattern ""k??ght"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""follo?s""?",follows,"The pattern ""follo?s"" is a 7-letter word. From the Wonderland dictionary, ""follows"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""un?e?""?",under,"The pattern ""un?e?"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.",pattern_match
"In Alice's Wonderland dictionary, which words start with the letter ""h""?","hatter, hidden","Words starting with ""h"": hatter, hidden (2 total).",pattern_match
"Is the word ""sword"" in Alice's Wonderland dictionary?",No,"No, ""sword"" is not in the Wonderland dictionary. The 77 words do not include it.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dra?on""?",dragon,"The pattern ""dra?on"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cleve?""?",clever,"The pattern ""cleve?"" is a 6-letter word. From the Wonderland dictionary, ""clever"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k?igh?""?",knight,"The pattern ""k?igh?"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?hr?ugh""?",through,"The pattern ""?hr?ugh"" is a 7-letter word. From the Wonderland dictionary, ""through"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""to???""?",tower,"The pattern ""to???"" is a 5-letter word. From the Wonderland dictionary, ""tower"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""princ?ss""?",princess,"The pattern ""princ?ss"" is a 8-letter word. From the Wonderland dictionary, ""princess"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?ud??s""?",studies,"The pattern ""s?ud??s"" is a 7-letter word. From the Wonderland dictionary, ""studies"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dis??ver?""?",discovers,"The pattern ""dis??ver?"" is a 9-letter word. From the Wonderland dictionary, ""discovers"" matches.",pattern_match
"In Alice's Wonderland dictionary, list words starting with letters ""u"" through ""z"".","under, valley, village, watches, wise, wizard, wonderland, writes","Wonderland words from ""u"" to ""z"": under, valley, village, watches, wise, wizard, wonderland, writes (8 words).",recall_range
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?lice""?",alice,"The pattern ""?lice"" is a 5-letter word. From the Wonderland dictionary, ""alice"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?ley""?",valley,"The pattern ""?a?ley"" is a 6-letter word. From the Wonderland dictionary, ""valley"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?ud?es""?",studies,"The pattern ""s?ud?es"" is a 7-letter word. From the Wonderland dictionary, ""studies"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cas?le""?",castle,"The pattern ""cas?le"" is a 6-letter word. From the Wonderland dictionary, ""castle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""anc?e??""?",ancient,"The pattern ""anc?e??"" is a 7-letter word. From the Wonderland dictionary, ""ancient"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to places.","castle, cave, forest, garden, island, library, mountain, ocean, palace, school, tower, valley, village","Wonderland words related to places: castle, cave, forest, garden, island, library, mountain, ocean, palace, school, tower, valley, village (13 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""tow?r""?",tower,"The pattern ""tow?r"" is a 5-letter word. From the Wonderland dictionary, ""tower"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""wi???d""?",wizard,"The pattern ""wi???d"" is a 6-letter word. From the Wonderland dictionary, ""wizard"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?d""?",bird,"The pattern ""?i?d"" is a 4-letter word. From the Wonderland dictionary, ""bird"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?ver""?",silver,"The pattern ""?i?ver"" is a 6-letter word. From the Wonderland dictionary, ""silver"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k?n?""?",king,"The pattern ""k?n?"" is a 4-letter word. From the Wonderland dictionary, ""king"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""aro???""?",around,"The pattern ""aro???"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""secre?""?",secret,"The pattern ""secre?"" is a 6-letter word. From the Wonderland dictionary, ""secret"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""wa?che?""?",watches,"The pattern ""wa?che?"" is a 7-letter word. From the Wonderland dictionary, ""watches"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""chas??""?",chases,"The pattern ""chas??"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r??ms""?",dreams,"The pattern ""?r??ms"" is a 6-letter word. From the Wonderland dictionary, ""dreams"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""wi?ard""?",wizard,"The pattern ""wi?ard"" is a 6-letter word. From the Wonderland dictionary, ""wizard"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""t?ache?""?",teacher,"The pattern ""t?ache?"" is a 7-letter word. From the Wonderland dictionary, ""teacher"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""hidde?""?",hidden,"The pattern ""hidde?"" is a 6-letter word. From the Wonderland dictionary, ""hidden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?oo?""?","book, door","The pattern ""?oo?"" matches 2 Wonderland words: book, door. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""???ses""?",chases,"The pattern ""???ses"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""m?rr?r""?",mirror,"The pattern ""m?rr?r"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""se?s""?",sees,"The pattern ""se?s"" is a 4-letter word. From the Wonderland dictionary, ""sees"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""w?s?""?",wise,"The pattern ""w?s?"" is a 4-letter word. From the Wonderland dictionary, ""wise"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""b???ht""?",bright,"The pattern ""b???ht"" is a 6-letter word. From the Wonderland dictionary, ""bright"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""m?rror""?",mirror,"The pattern ""m?rror"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??dde?""?",hidden,"The pattern ""??dde?"" is a 6-letter word. From the Wonderland dictionary, ""hidden"" matches.",pattern_match
"Is the word ""light"" in Alice's Wonderland dictionary?",No,"No, ""light"" is not in the Wonderland dictionary. The 77 words do not include it.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i??overs""?",discovers,"The pattern ""?i??overs"" is a 9-letter word. From the Wonderland dictionary, ""discovers"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?o?de?""?",golden,"The pattern ""?o?de?"" is a 6-letter word. From the Wonderland dictionary, ""golden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""li?rary""?",library,"The pattern ""li?rary"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ch?ol""?",school,"The pattern ""?ch?ol"" is a 6-letter word. From the Wonderland dictionary, ""school"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""c?ev??""?",clever,"The pattern ""c?ev??"" is a 6-letter word. From the Wonderland dictionary, ""clever"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""li?rary""?",library,"The pattern ""li?rary"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""i?""?",in,"The pattern ""i?"" is a 2-letter word. From the Wonderland dictionary, ""in"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""r?bbit""?",rabbit,"The pattern ""r?bbit"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""curiou?""?",curious,"The pattern ""curiou?"" is a 7-letter word. From the Wonderland dictionary, ""curious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?o?i?n""?",potion,"The pattern ""?o?i?n"" is a 6-letter word. From the Wonderland dictionary, ""potion"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""f?rest""?",forest,"The pattern ""f?rest"" is a 6-letter word. From the Wonderland dictionary, ""forest"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??ory""?",story,"The pattern ""??ory"" is a 5-letter word. From the Wonderland dictionary, ""story"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ch?se?""?",chases,"The pattern ""ch?se?"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?ror""?",mirror,"The pattern ""?i?ror"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rig??""?",bright,"The pattern ""?rig??"" is a 6-letter word. From the Wonderland dictionary, ""bright"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""islan?""?",island,"The pattern ""islan?"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?t?an?e""?",strange,"The pattern ""?t?an?e"" is a 7-letter word. From the Wonderland dictionary, ""strange"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?has?s""?",chases,"The pattern ""?has?s"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""im?gin?s""?",imagines,"The pattern ""im?gin?s"" is a 8-letter word. From the Wonderland dictionary, ""imagines"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""is?and""?",island,"The pattern ""is?and"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""expl?res""?",explores,"The pattern ""expl?res"" is a 8-letter word. From the Wonderland dictionary, ""explores"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??as?s""?",chases,"The pattern ""??as?s"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words with exactly 5 letters.","above, alice, draws, found, mouse, ocean, queen, reads, story, tower, under","The Wonderland dictionary has 11 word(s) with 5 letters: above, alice, draws, found, mouse, ocean, queen, reads, story, tower, under.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""c?l?rfu?""?",colorful,"The pattern ""c?l?rfu?"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?bov?""?",above,"The pattern ""?bov?"" is a 5-letter word. From the Wonderland dictionary, ""above"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""gar???""?",garden,"The pattern ""gar???"" is a 6-letter word. From the Wonderland dictionary, ""garden"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to verbs/actions.","chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes","Wonderland words related to verbs/actions: chases, creates, discovers, draws, dreams, explores, follows, imagines, reads, sees, studies, watches, writes (13 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""un??r""?",under,"The pattern ""un??r"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??l?nd""?",island,"The pattern ""??l?nd"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?n??ht""?",knight,"The pattern ""?n??ht"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ali?e""?",alice,"The pattern ""ali?e"" is a 5-letter word. From the Wonderland dictionary, ""alice"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?bove""?",above,"The pattern ""?bove"" is a 5-letter word. From the Wonderland dictionary, ""above"" matches.",pattern_match
"In Alice's Wonderland dictionary, which words contain ""ll""?","follows, valley, village","Words containing ""ll"": follows, valley, village (3 total).",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""q??e?""?",queen,"The pattern ""q??e?"" is a 5-letter word. From the Wonderland dictionary, ""queen"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ma?ic?l""?",magical,"The pattern ""ma?ic?l"" is a 7-letter word. From the Wonderland dictionary, ""magical"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""hat?e?""?",hatter,"The pattern ""hat?e?"" is a 6-letter word. From the Wonderland dictionary, ""hatter"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?oo?""?","book, door","The pattern ""?oo?"" matches 2 Wonderland words: book, door. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r?un?""?",around,"The pattern ""?r?un?"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""t?acher""?",teacher,"The pattern ""t?acher"" is a 7-letter word. From the Wonderland dictionary, ""teacher"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""li??a?y""?",library,"The pattern ""li??a?y"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""b?o?""?",book,"The pattern ""b?o?"" is a 4-letter word. From the Wonderland dictionary, ""book"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""d?eam?""?",dreams,"The pattern ""d?eam?"" is a 6-letter word. From the Wonderland dictionary, ""dreams"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??a?on""?",dragon,"The pattern ""??a?on"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?onderl?n?""?",wonderland,"The pattern ""?onderl?n?"" is a 10-letter word. From the Wonderland dictionary, ""wonderland"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r??nd""?",around,"The pattern ""?r??nd"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""b?i??t""?",bright,"The pattern ""b?i??t"" is a 6-letter word. From the Wonderland dictionary, ""bright"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cr?s?al""?",crystal,"The pattern ""cr?s?al"" is a 7-letter word. From the Wonderland dictionary, ""crystal"" matches.",pattern_match
"Is the word ""beyond"" in Alice's Wonderland dictionary?",Yes,"Yes, ""beyond"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""cu?ious""?",curious,"The pattern ""cu?ious"" is a 7-letter word. From the Wonderland dictionary, ""curious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""knig?t""?",knight,"The pattern ""knig?t"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""q?ee?""?",queen,"The pattern ""q?ee?"" is a 5-letter word. From the Wonderland dictionary, ""queen"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s?h??l""?",school,"The pattern ""s?h??l"" is a 6-letter word. From the Wonderland dictionary, ""school"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""va?le?""?",valley,"The pattern ""va?le?"" is a 6-letter word. From the Wonderland dictionary, ""valley"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""aro?n?""?",around,"The pattern ""aro?n?"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?at""?",cat,"The pattern ""?at"" is a 3-letter word. From the Wonderland dictionary, ""cat"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""curio?s""?",curious,"The pattern ""curio?s"" is a 7-letter word. From the Wonderland dictionary, ""curious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""k??g?t""?",knight,"The pattern ""k??g?t"" is a 6-letter word. From the Wonderland dictionary, ""knight"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""w?z?r?""?",wizard,"The pattern ""w?z?r?"" is a 6-letter word. From the Wonderland dictionary, ""wizard"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""w?i?e?""?",writes,"The pattern ""w?i?e?"" is a 6-letter word. From the Wonderland dictionary, ""writes"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""insid?""?",inside,"The pattern ""insid?"" is a 6-letter word. From the Wonderland dictionary, ""inside"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ri?h?""?",bright,"The pattern ""?ri?h?"" is a 6-letter word. From the Wonderland dictionary, ""bright"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?roun?""?",around,"The pattern ""?roun?"" is a 6-letter word. From the Wonderland dictionary, ""around"" matches.",pattern_match
"Is the word ""puzzle"" in Alice's Wonderland dictionary?",Yes,"Yes, ""puzzle"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?e?ds""?",reads,"The pattern ""?e?ds"" is a 5-letter word. From the Wonderland dictionary, ""reads"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""si?ver""?",silver,"The pattern ""si?ver"" is a 6-letter word. From the Wonderland dictionary, ""silver"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""imagine?""?",imagines,"The pattern ""imagine?"" is a 8-letter word. From the Wonderland dictionary, ""imagines"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""dr??o?""?",dragon,"The pattern ""dr??o?"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??yon?""?",beyond,"The pattern ""??yon?"" is a 6-letter word. From the Wonderland dictionary, ""beyond"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""t?e?s?re""?",treasure,"The pattern ""t?e?s?re"" is a 8-letter word. From the Wonderland dictionary, ""treasure"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""r?b?it""?",rabbit,"The pattern ""r?b?it"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?o?i?n""?",potion,"The pattern ""?o?i?n"" is a 6-letter word. From the Wonderland dictionary, ""potion"" matches.",pattern_match
"Is the word ""magical"" in Alice's Wonderland dictionary?",Yes,"Yes, ""magical"" is one of the 77 words in the Wonderland dictionary.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""doo?""?",door,"The pattern ""doo?"" is a 4-letter word. From the Wonderland dictionary, ""door"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""brigh?""?",bright,"The pattern ""brigh?"" is a 6-letter word. From the Wonderland dictionary, ""bright"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""???ool""?",school,"The pattern ""???ool"" is a 6-letter word. From the Wonderland dictionary, ""school"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""po?ion""?",potion,"The pattern ""po?ion"" is a 6-letter word. From the Wonderland dictionary, ""potion"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?""?","cat, map","The pattern ""?a?"" is a 3-letter word. From the Wonderland dictionary, 2 words match: cat, map.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""fore??""?",forest,"The pattern ""fore??"" is a 6-letter word. From the Wonderland dictionary, ""forest"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""fore??""?",forest,"The pattern ""fore??"" is a 6-letter word. From the Wonderland dictionary, ""forest"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""beyo?d""?",beyond,"The pattern ""beyo?d"" is a 6-letter word. From the Wonderland dictionary, ""beyond"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""m??s?ge""?",message,"The pattern ""m??s?ge"" is a 7-letter word. From the Wonderland dictionary, ""message"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??a?s""?","draws, reads","The pattern ""??a?s"" is a 5-letter word. From the Wonderland dictionary, 2 words match: draws, reads.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""f??nd""?",found,"The pattern ""f??nd"" is a 5-letter word. From the Wonderland dictionary, ""found"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""bi?d""?",bird,"The pattern ""bi?d"" is a 4-letter word. From the Wonderland dictionary, ""bird"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""go?de?""?",golden,"The pattern ""go?de?"" is a 6-letter word. From the Wonderland dictionary, ""golden"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""studi?s""?",studies,"The pattern ""studi?s"" is a 7-letter word. From the Wonderland dictionary, ""studies"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?ey""?",key,"The pattern ""?ey"" is a 3-letter word. From the Wonderland dictionary, ""key"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mo???""?",mouse,"The pattern ""mo???"" is a 5-letter word. From the Wonderland dictionary, ""mouse"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""li?ra?y""?",library,"The pattern ""li?ra?y"" is a 7-letter word. From the Wonderland dictionary, ""library"" matches.",pattern_match
